what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286134755655
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1286134757562
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1286135140952
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1286135142421
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1286135142562
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286135251687
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286135295015
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1286135299468
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286135301765
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286135315374
executed,command,,,com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run,1286135318468
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286135328405
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286135331249
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1286135333218
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286135932062
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286135996155
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1286135996155
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286135999405
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286137404843
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1286137406374
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286137428843
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286137430515
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1286137430515
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1286137430827
stopped,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200809120802,org.eclipse.cdt.debug.mi.ui,1286137431624
